"M49 numeric code","Region","Parent M49 numeric code"
"1","World",
"2","Africa","1"
"14","Eastern Africa","2"
"17","Middle Africa","2"
"15","Northern Africa","2"
"18","Southern Africa","2"
"11","Western Africa","2"
"19","Americas","1"
"419","Latin America and the Caribbean","19"
"29","Caribbean","419"
"13","Central America","419"
"5","South America","419"
"21","Northern America","19"
"142","Asia","1"
"143","Central Asia","142"
"30","Eastern Asia","142"
"34","Southern Asia","142"
"35","South-Eastern Asia","142"
"145","Western Asia","142"
"150","Europe","1"
"151","Eastern Europe","150"
"154","Northern Europe","150"
"39","Southern Europe","150"
"155","Western Europe","150"
"9","Oceania","1"
"53","Australia and New Zealand","9"
"54","Melanesia","9"
"61","Polynesia","9"
