"ISO 3166-1 alpha-2","E.212 Mobile Country Code (MCC)"
"GE",289
"AF",412
"AL",276
"DZ",603
"AS",544
"AD",213
"AO",631
"AI",365
"AG",344
"AR",722
"AM",283
"AW",363
"AU",505
"AT",232
"AZ",400
"BS",364
"BH",426
"BD",470
"BB",342
"BY",257
"BE",206
"BZ",702
"BJ",616
"BM",350
"BT",402
"BO",736
"BA",218
"BW",652
"BR",724
"VG",348
"BN",528
"BG",284
"BF",613
"BI",642
"KH",456
"CM",624
"CA",302
"CV",625
"KY",346
"CF",623
"TD",622
"CL",730
"CN",460
"CO",732
"KM",654
"CG",629
"CK",548
"CR",712
"CI",612
"HR",219
"CU",368
"CY",280
"CZ",230
"CD",630
"DK",238
"DJ",638
"DM",366
"DO",370
"TL",514
"EC",740
"EG",602
"SV",706
"GQ",627
"ER",657
"EE",248
"ET",636
"FK",750
"FO",288
"FJ",542
"FI",244
"FR",208
"GF",742
"PF",547
"GA",628
"GM",607
"GE",282
"DE",262
"GH",620
"GI",266
"GR",202
"GL",290
"GD",352
"GP",340
"GU",535
"GT",704
"GN",611
"GW",632
"GY",738
"HT",372
"HN",708
"HK",454
"HU",216
"IS",274
"IN",404
"IN",405
"ID",510
"IR",432
"IQ",418
"IE",272
"IL",425
"IT",222
"JM",338
"JP",441
"JP",440
"JO",416
"KZ",401
"KE",639
"KI",545
"KP",467
"KR",450
"KW",419
"KG",437
"LA",457
"LV",247
"LB",415
"LS",651
"LR",618
"LY",606
"LI",295
"LT",246
"LU",270
"MO",455
"MK",294
"MG",646
"MW",650
"MY",502
"MV",472
"ML",610
"MT",278
"MH",551
"MQ",340
"MR",609
"MU",617
"MX",334
"FM",550
"MD",259
"MC",212
"MN",428
"ME",297
"MS",354
"MA",604
"MZ",643
"MM",414
"NA",649
"NR",536
"NP",429
"NL",204
"AN",362
"NC",546
"NZ",530
"NI",710
"NE",614
"NG",621
"MP",534
"NO",242
"OM",422
"PK",410
"PW",552
"PS",423
"PA",714
"PG",537
"PY",744
"PE",716
"PH",515
"PL",260
"PT",268
"PR",330
"QA",427
"RE",647
"RO",226
"RU",250
"RW",635
"KN",356
"LC",358
"PM",308
"VC",360
"WS",549
"SM",292
"ST",626
"SA",420
"SN",608
"RS",220
"SC",633
"SL",619
"SG",525
"SK",231
"SI",293
"SB",540
"SO",637
"ZA",655
"ES",214
"LK",413
"SD",634
"SR",746
"SZ",653
"SE",240
"CH",228
"SY",417
"TW",466
"TJ",436
"TZ",640
"TH",520
"TG",615
"TO",539
"TT",374
"TN",605
"TR",286
"TM",438
"TC",376
"UG",641
"UA",255
"AE",424
"AE",430
"AE",431
"GB",235
"GB",234
"US",310
"US",311
"US",312
"US",313
"US",314
"US",315
"US",316
"VI",332
"UY",748
"UZ",434
"VU",541
"VA",225
"VE",734
"VN",452
"WF",543
"YE",421
"ZM",645
"ZW",648
"XX",901
